comuna,link,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,valor_uf,direccion,quien_vende,corredor
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/tobalaba-arrieta/2830003,9,4,0,1230.0,310.0,16.9,"La Reina, Tobalaba - Arrieta",Cata Brochet Propiedades,Cata Brochet Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/metro-simon-bolivarav-echenique/3154131,3,2,0,450.0,186.0,8.992,"La Reina, Metro Simón Bolivar/Av. Echeñique",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-gonzalezvicente-perez-rosales/3688084,4,2,0,0.0,220.0,14.0,"La Reina, Simon gonzalez/vicente perez rosales",Cristian Vial Propiedades,Cristian Vial Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alvaro-casanova-965/3326485,5,4,0,1000.0,280.0,19.9,"La Reina, Alvaro Casanova 965",Francisca Abarca,Francisca Abarca
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/piuchen/3488993,2,2,1,80.0,83.0,3.646,"La Reina, Piuchén",Silvia Marcela Viedma Norambuena,Vende Dueño/a
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/tomas-moraav-fco-bilbao/2243237,7,5,0,526.0,248.0,17.99,"La Reina, Tomás Mora/Av. Fco. Bilbao",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/francisco-de-villagrabramante/3079373,3,3,0,600.0,220.0,11.458,"La Reina, Francisco de Villagra/Bramante",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/santa-ritasimon-bolivar/3539663,4,2,0,857.0,163.0,21.7,"La Reina, Santa Rita/Simon Bolivar",Carlos Hurtado Rogers,Hurtado Propiedades S.A.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/loreley-echenique/3077334,5,4,0,600.0,240.0,24.0,"La Reina, Loreley / Echeñique",Schumacher Propiedades,Schumacher Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/7d-y-6b-l-escultora-rebeca-matte-l-helsby/3123483,6,5,4,1100.0,450.0,19.8,"La Reina, 7D y 6B l Escultora Rebeca Matte l Helsby",María Francisca Lilienfeld,Vende Dueño/a
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-bolivarvalenzuela-llanos/2898386,4,3,0,470.0,209.0,13.402,"La Reina, Simón Bolivar/Valenzuela Llanos",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernstreinalvaro-casanova/3023218,3,2,0,600.0,140.0,15.65,"La Reina, Julia bernstrein/Alvaro casanova",RED Gestión Propiedades,Red Gestión Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alvaro-casanovaalvaro-casanova-lm/2506072,3,3,0,672.0,140.0,16.5,"La Reina, alvaro casanova/alvaro Casanova LM",Cristian Vial Propiedades,Cristian Vial Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/padre-hurtado-survalenzuela-puelma/3170373,5,3,0,1350.0,242.0,24.0,"La Reina, Padre Hurtado Sur/Valenzuela PUelma",Alonso Baeza Rivera y Cía. Ltda.,Alonso Baeza Rivera y Cía. Ltda.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/7d-5b-servicio-club-housereina-victoriaprincipe-de-gales-inmobiliaria-residencial-adultos-mayores-colegio/3402223,7,5,5,1400.0,400.0,27.52,"La Reina, 7D 5B + Servicio + Club House/Reina Victoria/Príncipe de Gales  Inmobiliaria, Residencial Adultos Mayores, Colegio",María Francisca Lilienfeld,Vende Dueño/a
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/las-perdicestalinay/3539650,2,1,0,64.0,56.0,2.76,"La Reina, Las Perdices/Talinay",Aleida Lama Propiedades,Aleida Lama Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/loreleymonsenor-edwards/1367271,4,3,0,600.0,180.0,16.0,"La Reina, Loreley/Monseñor edwards",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/padre-hurtadovalenzuela-puelma/3170405,4,3,0,1343.0,275.0,24.0,"La Reina, Padre Hurtado/Valenzuela Puelma",Alonso Baeza Rivera y Cía. Ltda.,Alonso Baeza Rivera y Cía. Ltda.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/av-alcalde-fernando-castillo-velasco-maria-monvel/3157765,3,4,0,404.0,144.0,12.9,"La Reina, Av. Alcalde Fernando Castillo Velasco / María Monvel",Cata Brochet Propiedades,Cata Brochet Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernstreinalvaro-casanova/3023213,3,2,0,550.0,140.0,15.0,"La Reina, Julia bernstrein/Alvaro casanova",RED Gestión Propiedades,Red Gestión Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosola-las-perdicesmaria-monvel-altazor/3539765,4,3,0,954.0,230.0,21.0,"La Reina, Carlos Silva Vildósola - Las Perdices/María Monvel - Altazor",Carlos Hurtado Rogers,Hurtado Propiedades S.A.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/metro-principe-de-gales-reina-victoria/3728035,3,4,0,1070.0,250.0,19.5,"La Reina, Metro Principe de Gales - Reina Victoria",Cata Brochet Propiedades,Cata Brochet Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/helsbypadre-hurtado/3054974,5,4,0,523.0,285.0,13.7,"La Reina, Helsby/Padre Hurtado",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/santa-ritaalcala-de-henares/3556996,4,2,0,448.0,133.0,11.26,"La Reina, Santa rita/alcala de henares",Eduardo Guiloff,Guiloff & Gia. Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/propiedad-residencial-de-1371-m2-carlos-silva-vildosola-la-reina/3109533,4,5,0,1371.0,425.0,18.401,"La Reina, Propiedad Residencial de 1.371 m2. Carlos Silva Vildósola. La Reina",Corretajes Prosal Ltda.,Corretajes Prosal
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-ossandonsimon-bolivar/3524047,4,3,0,430.0,160.0,14.2,"La Reina, Carlos ossandon/simon bolivar",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosolapadre-hurtado/3569406,5,4,0,413.0,198.0,13.9,"La Reina, Carlos Silva Vildosola/Padre Hurtado",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/av-carlos-ossandon/3017465,4,5,0,2240.0,434.0,32.0,"La Reina, Av. Carlos Ossandón",Schumacher Propiedades,Schumacher Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/monsenor-edwardspdte-ovalle/3555402,4,1,0,825.0,118.0,15.922,"La Reina, Monseñor Edwards/Pdte Ovalle",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/propiedad-de-800-m2-en-excelente-sector-residencial/3728193,6,4,0,800.0,412.0,16.666,"La Reina, Propiedad de 800 m2 en excelente sector residencial",Corretajes Prosal Ltda.,Corretajes Prosal
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/larrain-tobalaba/2158714,6,4,0,860.0,420.0,26.04,"La Reina, Larraín / Tobalaba",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/larrainalvaro-casanova/2114355,5,5,0,651.0,202.0,18.0,"La Reina, Larrain/alvaro casanova",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/principe-de-gales-salvador-izquierdo/3508925,4,3,0,1150.0,295.0,39.1,"La Reina, Principe de Gales / Salvador Izquierdo",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/colegio-grangepdte-ovalle/3473496,4,3,0,650.0,200.0,14.5,"La Reina, Colegio Grange/Pdte. Ovalle",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/carlos-silva-vildosola-las-perdicesavenida-principe-de-galez-la-reina-alta/3539738,5,4,0,640.0,225.0,19.49,"La Reina, Carlos Silva Vildósola - Las Perdices/Avenida príncipe de Galez - La Reina Alta",Carlos Hurtado Rogers,Hurtado Propiedades S.A.
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/reina-victoriaramon-laval/3508197,4,2,0,690.0,205.0,16.5,"La Reina, Reina Victoria/Ramón Laval",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/helsbynicanor-plaza/3556987,7,5,0,1100.0,400.0,19.5,"La Reina, Helsby/Nicanor Plaza",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/hospital-militarcarlos-ossandon/1326629,3,3,0,502.0,140.0,12.99,"La Reina, Hospital Militar/Carlos Ossandon",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/la-canadamonsedwards/3508086,3,2,0,650.0,200.0,14.5,"La Reina, La Cañada/Mons.Edwards",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/las-perdicesfernando-castillo-velascos/3460808,3,1,0,55.0,85.0,3.819,"La Reina, Las Perdices/Fernando Castillo Velascos",Mauricio Pino Propiedades,Mauricio Pino Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alcalde-castillo-velascotobalaba/3507750,6,2,0,450.0,167.0,12.846,"La Reina, Alcalde Castillo Velasco/Tobalaba",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/jose-zapiola-echenique/3509328,5,3,0,537.0,200.0,14.8,"La Reina, José Zapiola/ Echeñique",Vivaqui Propiedades,Vivaqui Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/simon-gonzalezcarlos-ossandon/3066204,3,3,0,1070.0,178.0,23.5,"La Reina, Simon gonzález/carlos ossandon",Cristian Vial Propiedades,Cristian Vial Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pje-dos-cauquenanueva-principe-de-gales/1920628,2,2,0,79.0,79.0,3.298,"La Reina, pje dos. cauquena/nueva príncipe de gales",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/colegio-andree-grange/2686954,4,2,0,860.0,260.0,18.9,"La Reina, Colegio Andree - Grange",Cata Brochet Propiedades,Cata Brochet Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-en-av-san-martin-valle-grande/3734555,3,3,0,220.0,117.0,4.166,"Lampa, Casa en Av. San Martín Valle Grande",Armacima LImitada,Armacima Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/valle-grande/3695324,3,3,4,192.77,119.0,5.498,"Lampa, Valle Grande",Corredor Pro SpA.,Corredorpro Spa
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-en-valle-grande/3734517,4,2,0,185.0,84.0,3.333,"Lampa, Casa en Valle Grande",Armacima LImitada,Armacima Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/latorre/3179808,3,2,2,446.0,70.0,1.91,"Lampa, Latorre",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/larapinta-pte-2514/3322013,3,3,1,232.0,88.0,3.4,"Lampa, Larapinta Pte 2514",Victor Soto Herrera,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/larapinta-oriente/3161032,3,3,2,256.0,111.0,4.09,"Lampa, Larapinta Oriente",Casas en Chile,Casas en Chile
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-el-amanecer-condominio-santa-rosa/3629394,4,3,0,300.0,350.0,9.6,"Lampa, Camino El Amanecer, Condominio Santa Rosa",Piren Propiedades,Piren Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-comendadores/3624388,5,3,5,5300.0,300.0,7.72,"Lampa, Los Comendadores",Jorge Figueroa,Behouse
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/la-montana-surrio-tolten/2272123,3,2,0,0.0,122.0,3.8,"Lampa, La montaña sur/rio tolten",Jorge Pablo Caro Propiedades,Jorge Pablo Caro Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-mirador-del-vallebatucolampa/1425526,4,4,0,5000.0,280.0,9.722,"Lampa, Condominio Mirador del Valle/Batuco/Lampa",Schumacher Propiedades,Schumacher Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/gral-san-martin-nte-305/3711631,3,3,2,233.0,123.0,4.687,"Lampa, Gral San Martín Nte 305",Grupo Enlace Inversiones Inmobiliarias,Grupo Enlace Inversiones Inmobiliarias
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/el-lucero-lampa/3459496,6,3,4,700.0,200.0,3.298,"Lampa, El Lucero, Lampa",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/hermosa-vista-al-valle-piscinaquincho/3034676,3,4,4,5000.0,150.0,6.666,"Lampa, Hermosa vista al valle piscina,quincho",Lorena Verdugo,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/baquedano/3526571,3,1,3,1550.0,102.0,3.7,"Lampa, Baquedano",Jorge Figueroa,Behouse
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-guerreros/3536733,5,4,8,5000.0,300.0,7.986,"Lampa, Los Guerreros",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/la-montana-norte/3647145,3,3,2,194.0,198.0,4.34,"Lampa, La Montaña Norte",Work Inmobiliario,Work Inmobiliario
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-guerreros/3529374,4,4,4,5300.0,309.0,9.7,"Lampa, Los Guerreros",Jorge Figueroa,Behouse
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-laguna-norteav-el-porvenir/3630417,3,2,0,0.0,73.0,3.5,"Lampa, Condominio Laguna Norte/Av El Porvenir",Claudia Lespinasse,Norbert Lui Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/parcela-en-condominio-algarrobo-de-batuco/3489433,5,4,0,5476.0,0.0,10.5,"Lampa, Parcela en Condominio Algarrobo de Batuco",Corretajes Prosal Ltda.,Corretajes Prosal
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-los-coihues/3606276,4,4,3,385.0,244.47,6.25,"Lampa, Condominio Los Coihues",Juan hernan maldonado manquilepe,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/lampa/3613365,3,3,2,200.0,88.0,3.125,"Lampa, lampa",Vimac Gestion Inmobiliaria,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/gral-san-martin-rio-claro/1035207,4,3,2,190.0,96.0,3.599,"Lampa, Gral San Martin / Rio Claro",Paola Andrea Becerra Espinoza,BEhouse Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-la-montanario-tolten/3460810,3,3,0,220.0,93.0,3.368,"Lampa, Avenida La Montaña/.Rio Tolten",Jaime Moris Propiedades (Providencia),Jaime Moris Propiedades (Providencia)
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-el-rodeo/3692746,4,3,3,289.0,175.0,7.3,"Lampa, Avenida El Rodeo",Corredor Pro SpA.,Corredorpro Spa
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/los-comendadores/3551447,7,3,8,5300.0,240.0,7.465,"Lampa, Los Comendadores",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/av-la-hacienda-2121/3523039,3,1,2,181.0,65.0,2.8,"Lampa, Av. La Hacienda 2121",Jorge Figueroa,Behouse
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/batuco/2897565,3,2,0,5650.0,100.0,5.208,"Lampa, Batuco",Schumacher Propiedades,Schumacher Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-las-flores/3135762,3,1,1,238.0,73.0,2.951,"Lampa, Camino Las Flores",Amparo Canales Bustos,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-margaritas-oriente-2443/3541982,4,3,1,220.0,120.0,3.993,"Lampa, Las Margaritas Oriente 2443",Francis Muñoz Chavez,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-calerias/3515842,3,2,8,5000.0,120.0,4.166,"Lampa, Las Calerias",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avda-los-halcones/3583576,3,3,3,273.0,99.0,4.34,"Lampa, Avda Los Halcones",Cesar Galaz,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-santa-saracondominio-quilquenbatucolampa/1981777,4,4,0,5500.0,350.0,11.0,"Lampa, Camino Santa Sara/Condominio Quilquén/Batuco-Lampa",Mauricio Pino Propiedades,Mauricio Pino Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/camino-del-viento/3537279,4,3,2,182.0,125.0,3.5,"Lampa, Camino del Viento",Jorge Figueroa,Behouse
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/condominio-los-comendadores-batuco/3510781,4,2,0,5060.0,250.0,12.711,"Lampa, Condominio los comendadores, batuco.",Kap Propiedades,Kap Propiedades
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/mirador-del-valle/3459671,3,3,6,4500.0,140.0,5.902,"Lampa, Mirador del Valle",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/las-calerias/3459530,5,4,8,5000.0,300.0,5.729,"Lampa, Las Calerias",AURORA HERNANDEZ,Vende Dueño/a
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/casa-2-pisos-en-hacienda-urbana-larapinta/3627620,3,3,0,230.0,111.0,3.472,"Lampa, Casa 2 Pisos en Hacienda Urbana Larapinta",Corretajes Prosal Ltda.,Corretajes Prosal
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/linda-casa-de-1-piso-en-hacienda-urbana-larapinta/3469164,3,2,0,245.0,71.0,2.517,"Lampa, Linda Casa de 1 Piso en Hacienda Urbana Larapinta",Corretajes Prosal Ltda.,Corretajes Prosal
Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/batuco/3522735,7,2,5,500.0,120.0,2.257,"Lampa, Batuco",AURORA HERNANDEZ,Vende Dueño/a
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/paul-harris-vital-apoquindo/3505677,4,2,0,144.0,112.0,5.555,"Las Condes, Paul Harris Vital Apoquindo",Vivaqui Propiedades,Vivaqui Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/la-foresta-mirasolgral-blanche/3011446,5,4,0,860.0,345.0,23.5,"Las Condes, La Foresta (Mirasol/Gral. Blanche)",Cata Brochet Propiedades,Cata Brochet Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/general-blanche-san-carlos-apoquindoquebrada-honda/2989005,4,5,0,840.0,240.0,18.4,"Las Condes, General Blanche San Carlos Apoquindo/Quebrada Honda",Alonso Baeza Rivera y Cía. Ltda. (Kennedy),Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/la-forestafrancisco-bulnes-correa/3395897,6,5,0,1025.0,311.0,25.0,"Las Condes, La Foresta/Francisco Bulnes Correa",Francisco Vial Propiedades,Francisco Vial Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/quinchamalila-quebrada/3725814,6,5,0,921.0,427.0,23.99,"Las Condes, Quinchamali/La Quebrada",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/vichatobilbao/3728872,4,2,0,182.0,109.0,8.29,"Las Condes, Vichato/bilbao",Pro Partners Propiedades,Pro Partners Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-el-olivar/3526675,6,5,4,1065.0,202.0,21.641,"Las Condes, Camino El Olivar",Ximena Aceituno Torres,Vende Dueño/a
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/mirador-los-dominicosvicente-ferrer/3725162,5,5,0,1000.0,370.0,28.99,"Las Condes, Mirador Los Dominicos/Vicente Ferrer",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-la-vina/3336397,5,4,0,1980.0,590.0,50.0,"Las Condes, Camino la viña",Corredores Asociados,Corredores Asociados
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/hamiltoncamino-la-posada/3117837,4,4,0,2480.0,720.0,59.0,"Las Condes, Hamilton/Camino La Posada",Alonso Baeza Rivera y Cía. Ltda. (Kennedy),Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/las-condesasgeneral-blanche/3725146,4,3,0,1023.0,396.0,26.0,"Las Condes, Las Condesas/General Blanche",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/los-militares/2861639,3,2,0,150.0,75.0,11.0,"Las Condes, Los Militares",Cata Brochet Propiedades,Cata Brochet Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/francisco-de-asis/1488561,5,4,0,1650.0,290.0,35.0,"Las Condes, Francisco de Asis",Vivaqui Propiedades,Vivaqui Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/fray-bernardo-la-cabana/3017419,5,4,0,840.0,270.0,26.0,"Las Condes, Fray Bernardo / La Cabaña",Cata Brochet Propiedades,Cata Brochet Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/la-foresta/3017428,5,5,0,1300.0,280.0,22.25,"Las Condes, La foresta",Cata Brochet Propiedades,Cata Brochet Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/elegante-casa-familiar-en-colina-miravalle-los-dominicos/2786219,6,6,6,1525.0,492.0,36.5,"Las Condes, Elegante casa Familiar en Colina Miravalle, Los Domínicos",María Francisca Lilienfeld,Vende Dueño/a
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/atalaya/3508699,6,6,0,1390.0,740.0,35.0,"Las Condes, Atalaya",Vivaqui Propiedades,Vivaqui Propiedades
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/carlos-pena-otaeguicolina-del-peumo/3725303,6,5,0,804.0,420.0,19.99,"Las Condes, Carlos Peña Otaegui/Colina del Peumo",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/felix-de-amestilas-pataguas/3467854,4,3,0,185.0,213.0,15.3,"Las Condes, Félix de Amesti/Las Pataguas",Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario),Procasa Alonso Baeza Rivera y Cia. Ltda. (IV Centenario)
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/quinchamalilimavida/3725310,5,5,0,1475.0,421.0,23.5,"Las Condes, Quinchamalí/Limavida",Propiedades Ricardo Vial y Cia. Ltda.,Propiedades Ricardo Vial y Cia. Ltda.
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/padre-hurtado-nortelas-verbenas/3625885,5,3,1,165.0,135.0,11.458,"Las Condes, Padre hurtado  norte/las verbenas",Alonso Baeza Rivera y Cía. Ltda. (Kennedy),Alonso Baeza Rivera y Cía. Ltda. (Kennedy)
Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/colon-hernando-de-magallanes/3503977,5,3,0,800.0,340.0,70.828,"Las Condes, Colon / Hernando de Magallanes",Vivaqui Propiedades,Vivaqui Propiedades
